1       CPU: 2,448436                   RAM: 2267                       D˜SK: 0
94      CPU: 28,10101                   RAM: 2126                       D˜SK: 0,1546263
95      CPU: 28,39108                   RAM: 2131                       D˜SK: 12,82266
96      CPU: 22,48585                   RAM: 2128                       D˜SK: 0,4863585
97      CPU: 24,47168                   RAM: 2128                       D˜SK: 0,1073955
98      CPU: 26,49154                   RAM: 2128                       D˜SK: 0,0400006
99      CPU: 22,77693                   RAM: 2137                       D˜SK: 0,3710788
100     CPU: 55,33841                   RAM: 2163                       D˜SK: 43,68209
101     CPU: 38,5067                    RAM: 2137                       D˜SK: 2,638261
102     CPU: 19,00624                   RAM: 2137                       D˜SK: 0,07457893
103     CPU: 6,169536                   RAM: 2142                       D˜SK: 0,6380509
104     CPU: 11,90645                   RAM: 2145                       D˜SK: 1,188155
105     CPU: 11,46767                   RAM: 2151                       D˜SK: 0,1310935
106     CPU: 22,91486                   RAM: 2153                       D˜SK: 1,445872
107     CPU: 26,49293                   RAM: 2154                       D˜SK: 3,545482
108     CPU: 36,30333                   RAM: 2132                       D˜SK: 9,245647
109     CPU: 23,03403                   RAM: 2143                       D˜SK: 13,47255
110     CPU: 31,62569                   RAM: 2133                       D˜SK: 8,404374
111     CPU: 50,82456                   RAM: 2116                       D˜SK: 6,241591
112     CPU: 57,13037                   RAM: 2120                       D˜SK: 0,2995395
113     CPU: 63,2841                    RAM: 2123                       D˜SK: 3,292866
114     CPU: 52,70345                   RAM: 2116                       D˜SK: 17,62639
115     CPU: 38,11245                   RAM: 2110                       D˜SK: 0,4374698
116     CPU: 70,36877                   RAM: 2109                       D˜SK: 7,160056
117     CPU: 89,14826                   RAM: 2099                       D˜SK: 16,67217
118     CPU: 90,0078                    RAM: 2095                       D˜SK: 23,28306
119     CPU: 81,29535                   RAM: 2102                       D˜SK: 40,86392
120     CPU: 64,63672                   RAM: 2188                       D˜SK: 18,49022
121     CPU: 25,54072                   RAM: 2172                       D˜SK: 4,130964
122     CPU: 30,15816                   RAM: 2166                       D˜SK: 0,5419958
123     CPU: 32,19234                   RAM: 2163                       D˜SK: 22,58227
124     CPU: 46,78069                   RAM: 2095                       D˜SK: 41,56152
